Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology-Type,Installed Capacity (MWelec),CHP Enabled,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,lat,lng
2243,22/12/2015,Lightsource Renewable Energy,Maes Bach Farm,Solar Photovoltaics,4.9,n/a,n/a,n/a,n/a,,Operational,Operational,"Maes Bach, Willowford Road, Tonte, Pontypridd, Mid Glamorgan",Mid Glamorgan,Wales,Wales,310571.00,185789.00,Rhondda Cynon Taff County Borough Council,14/1014/10,,,,,,31/07/2014,,,,,,,30/12/2014,,,,30/12/2019,16/09/2015,19/11/2015,51.563861,-3.291551
2253,25/07/2016,Haymaker Energy,Kinmel 1 CIC,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Land immediately north of A547, Rhuddlan Road, Towyn, Conwy",Gwynedd,Wales,Wales,298420.00,377733.00,Conwy County Borough Council,0/40999,,,,,,27/08/2014,,,,,,,11/03/2015,,,,11/03/2020,21/03/2016,27/06/2016,53.286798,-3.5252087
2286,19/08/2015,INRG Solar,Hendre Fawr Farm,Solar Photovoltaics,11.6,n/a,n/a,n/a,n/a,,Operational,Operational,"Land at Hendrefawr Farm, Mount Road, Rhigos, Neath, West Glamorgan",West Glamorgan,Wales,Wales,290227.00,205890.00,Neath Port Talbot County Borough Council,P2013/0635,,,,,,18/09/2013,,,,,,,06/07/2014,,,,,15/11/2014,06/03/2015,51.740927,-3.5912517
2325,03/07/2017,John Laing Environmental Assets (formerly Camborne Capital & Lightsource / Hive energy),Golden Hill,Solar Photovoltaics,6.2,n/a,n/a,n/a,n/a,,Operational,Operational,"Land East of Mylett's Hill, Golden Hill, Pembroke, Pembrokeshire",Dyfed,Wales,Wales,199087.00,202465.00,Pembrokeshire County Council,14/0129/PA,,,,,,07/05/2014,,,,,,,10/09/2014,,,,,01/12/2014,31/03/2015,51.684905,-4.9078456
2326,19/06/2015,Wessex Solar Energy,Chapel Hill,Solar Photovoltaics,8,n/a,n/a,n/a,n/a,,Operational,Operational,"Land east of Chapel Hill, Orielton, Pembroke, Dyfed",Dyfed,Wales,Wales,196092.00,197842.00,Pembrokeshire County Council,14/0148/PA,,,,,,14/05/2014,,,,,,,29/07/2014,,,,,01/01/2015,27/03/2015,51.642314,-4.9484123
2327,26/05/2017,Lightsource Renewable Energy,Pen Rhiw Caradog,Solar Photovoltaics,4.7,n/a,n/a,n/a,n/a,,Operational,Operational,"FARMHOUSE, PENRHIW CRADOC FARM, LLANWONNO ROAD, MOUNTAIN ASH, CF45 3UX",Mid Glamorgan,Wales,Wales,304594.00,197985.00,Rhondda Cynon Taff County Borough Council,13/0901/10,,,,,,03/09/2013,,,,,,,11/07/2016,,,,11/07/2019,07/11/2016,24/02/2017,51.672506,-3.3810774
2334,19/06/2015,Solar Park Developments,Gelliwern Isaf Farm,Solar Photovoltaics,6,n/a,n/a,n/a,n/a,,Operational,Operational,Land to South of Gelliwern Isaf Felindre Swansea,West Glamorgan,Wales,Wales,262382.00,202019.00,City and County Council of Swansea,2014/0739,,,,,,21/05/2014,,,,,,,12/11/2014,,,,12/11/2019,01/01/2015,31/03/2015,51.699993,-3.9927658
2338,21/06/2016,Elgin Energy EsCo,Weycock Road,Solar Photovoltaics,7,n/a,n/a,n/a,n/a,,Operational,Operational,"Land off Weycock Cross, Waycock Road, Barry, South Glamorgan",South Glamorgan,Wales,Wales,309173.00,169565.00,Vale of Glamorgan Council,2014/00081/FUL,,,,,,22/01/2014,,,,,,,01/08/2014,,,,,26/11/2015,02/03/2016,51.417798,-3.3075337
2347,01/03/2017,Foresight Solar Fund,Shotwick Solar Farm,Solar Photovoltaics,45.7,n/a,n/a,n/a,n/a,,Operational,Operational,"Weighbridge Road, Sealand, Deeside, Clwyd, CH5 2NN",Flintshire,Wales,Wales,331844.00,372029.00,Flintshire County Council,51772,,,,,,21/02/2014,,,,,,,01/06/2015,,,,01/06/2017,15/11/2015,31/03/2016,53.240892,-3.0227177
2350,16/02/2017,Novus Solar Developments,Blaen Bowi Solar park,Solar Photovoltaics,8,n/a,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,"Blaen Bowi, Capel Iwan, Newcastle Emlyn, Dyfed",Dyfed,Wales,Wales,232248.00,235208.00,Carmarthenshire County Council,W/28837,,,,,,09/09/2013,,,,,,,14/05/2014,,,,,,,51.989921,-4.4445323
2353,16/04/2015,New Forest Energy Ltd,Bryn yr Odyn Solar Farm,Solar Photovoltaics,15,n/a,n/a,n/a,n/a,,Operational,Operational,Bryn yr Odyn,Isle of Anglesey,Wales,Wales,239600.00,373400.00,Isle of Anglesey County Council,10C118A/RE,,,,,,08/09/2013,,,,,,,06/11/2013,,,,,06/11/2014,28/02/2015,53.233342,-4.4046553
2354,29/05/2015,Wessex Solar Energy,Rhyd-y-Pandy Solar Farm,Solar Photovoltaics,6,n/a,n/a,n/a,n/a,,Operational,Operational,"Cefn Betingau Farm, Rhydypandy Road, Morriston, Swansea",West Glamorgan,Wales,Wales,266057.00,201531.00,City and County Council of Swansea,2013/1639,,,,,,15/11/2013,,,,,,,20/02/2014,,,,,01/11/2014,06/03/2015,51.696498,-3.9394334
2355,11/08/2015,Anesco,Saron Road solar park,Solar Photovoltaics,6.7,n/a,n/a,n/a,n/a,,Operational,Operational,"E/O Saron Road, N/O Dyffryn Road, Saron, Ammanford, Dyfed",Dyfed,Wales,Wales,260904.00,212664.00,Carmarthenshire County Council,E/28054,,,,,,12/04/2013,,,,,,,19/09/2013,,,,,24/11/2014,15/02/2015,51.795279,-4.0183994
2359,10/05/2016,INRG Solar,West Hall Solar Farm,Solar Photovoltaics,7,n/a,n/a,n/a,n/a,,Operational,Operational,"Land at West Hall Farm, Aberthaw, St. Athan",South Glamorgan,Wales,Wales,302351.00,167146.00,Vale of Glamorgan Council,2013/00724/FUL,,,,,,01/08/2013,,,,,,,17/01/2014,,,,,18/01/2014,31/03/2014,51.394918,-3.4049406
2363,19/03/2015,Brynteg Solar,Brynteg Farm,Solar Photovoltaics,16.2,n/a,n/a,n/a,n/a,,Operational,Operational,"Land forming part of Brynteg farm adjacent to the B4309, five roads, Llanelli",Dyfed,Wales,Wales,249621.00,203809.00,Carmarthenshire County Council,S/28898,,,,,,19/09/2013,,,,,,,11/03/2014,,,,,01/09/2014,22/12/2014,51.712799,-4.1780556
2365,05/02/2016,Sunsave 23 Limited/ Vogt solar  ,Yerbeston Gate Farm,Solar Photovoltaics,6.1,n/a,n/a,n/a,n/a,,Operational,Operational,"Land north, west and south of Yerbeston Gate, Yerbeston, Kilgetty, SA68 0NS",Dyfed,Wales,Wales,207186.00,209092.00,Pembrokeshire County Council,13/0501/PA,,,,,,02/09/2013,,,,,,,02/12/2013,,,,,25/09/2015,25/11/2015,51.747259,-4.7945059
2370,31/03/2015,Conergy UK,Hendai Farm,Solar Photovoltaics,13.4,n/a,n/a,n/a,n/a,,Operational,Operational,Land At Hendai Farm Heol Adam Gelligaer Hengoed CF82 8FU,Mid Glamorgan,Wales,Wales,311830.00,198070.00,Caerphilly County Borough Council,13/0846/FULL,,,,,,10/12/2013,,,,,,,10/04/2014,,,,,01/10/2014,01/03/2015,51.674454,-3.2764873
2376,24/02/2015,,Cuckoo Grove Farm,Solar Photovoltaics,7.5,n/a,n/a,n/a,n/a,,Operational,Operational,"Land to the North of Cuckoo Grove Farm, Cuckoo Lane, Haverfordwest, SA61 2UY",Dyfed,Wales,Wales,192777.00,216646.00,Pembrokeshire County Council,12/0744/PA,,,,,,09/11/2012,,,,,,,25/04/2013,,,,,01/01/2015,26/03/2015,51.809939,-5.007446
2381,16/09/2014,St. Modwen Developments,Baglan Bay Solar Farm - Phase 1,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,,Operational,Operational,"Baglan Energy Park, Port Talbot",West Glamorgan,Wales,Wales,273414.00,191650.00,Neath Port Talbot County Borough Council,P2011/0054,,,,,,01/02/2011,,,,,,,30/01/2013,,,,,,30/03/2014,51.60941,-3.8294646
2391,29/08/2012,Dwr Cymru Welsh Water,Cardiff Waste Water Treatment,Sewage Sludge Digestion,5.5,No,n/a,n/a,n/a,n/a,Operational,Operational,"Tide Fields Road, Splott, Cardiff, South Glamorgan. CF24 2",South Glamorgan,Wales,Wales,320496.00,176903.00,Cardiff Council,08/01949/E,,,,,,11/08/2008,,,,,,,10/12/2008,,,,,01/09/2009,02/10/2010,51.485468,-3.1463914
2559,18/05/2006,Cynllun Trydan Gwynt,Mynydd Gorddu Wind Farm,Wind Onshore,10.2,n/a,0.54,19,,n/a,Operational,Operational,Mynydd Gorddu Elerch Tal-y-Bont Dyfed,Dyfed,Wales,Wales,266200.00,287200.00,Ceredigion County Council,,,,,,,04/01/1991,,,,,,,12/09/1991,,,,,,18/04/1998,52.466297,-3.9710006
2563,22/04/2009,"Renewable Development Company Ltd, KENTECH Ltd",Cefn Croes Wind Farm,Wind Onshore,58.5,n/a,1.5,39,,n/a,Operational,Operational,"Canolbarth Forest,  Devils Bridge  Ceredigion",Dyfed,Wales,Wales,281000.00,280000.00,DECC (S36),AD00737,,,,,,24/07/2000,,,,,,,10/12/2001,,,,,,25/01/2005,52.405028,-3.7506912
2564,30/10/2011,RWE npower,Carno 'B' Wind Farm,Wind Onshore,16.8,n/a,0.6,28,,n/a,Operational,Operational,"Trannon Moor, Carno, Powys",Powys,Wales,Wales,291053.00,295836.00,Powys County Council,,,,,,,30/12/1993,,,,,,,18/08/1995,,,,,,01/10/1996,52.549433,-3.6081629
2565,30/10/2011,RWE npower,Carno 'A' Wind Farm,Wind Onshore,16.8,n/a,0.6,28,,n/a,Operational,Operational,"Cwm CledanCarnoPowys",Powys,Wales,Wales,293000.00,295000.00,Powys County Council,,,,,,,16/08/1993,,,,,,,18/08/1995,,,,,,01/10/1996,52.542306,-3.5791911
2566,03/02/2010,Vestas,Cemmaes 'B' Wind Farm,Wind Onshore,3.4,n/a,0.56,6,,n/a,Operational,Operational,"Mynydd y CemmaesCemmaesMachynllethPowys",Powys,Wales,Wales,287000.00,308000.00,Powys County Council,M/1996/0550,,,,,,04/09/1996,,,,,,,16/03/1999,,,,,,01/02/2002,52.657911,-3.6720678
2567,09/12/2003,RWE npower,Trysglwyn Wind Farm,Wind Onshore,5.6,n/a,0.4,14,,n/a,Operational,Operational,"Trysglwyn FawrRhosybolIsle of AngleseyGwynedd",Gwynedd,Wales,Wales,244000.00,389000.00,Isle of Anglesey County Council,,,,,,,08/08/1992,,10/12/1993,,,,,,,,,,,01/05/1996,53.37476,-4.3464665
2568,03/03/2010,Mr. Smallwood,Hafoty Ucha '2' and '3' Wind Turbine,Wind Onshore,2.6,n/a,0.85,3,,n/a,Operational,Operational,"3 km South of CerrigydrudionLlangwm",Clwyd,Wales,Wales,293500.00,345500.00,Conwy County Borough Council,0/25079,,,,,,02/07/2001,,,,,,,17/10/2001,,,,,,15/12/2002,52.996202,-3.5882565
2576,14/09/2010,Vestas,Cemmaes 'C' Wind Farm,Wind Onshore,15.3,n/a,0.85,18,,n/a,Operational,Operational,"CemmaesMachynllethPowys",Powys,Wales,Wales,286800.00,306000.00,Powys County Council,M/2000/0846,,,,,,15/10/2000,,,,,,,06/04/2001,,,,,,23/02/2002,52.639897,-3.6743364
2582,04/06/2005,MANWEB Generation Holdings,Llanbabo Wind Farm,Wind Onshore,20.4,n/a,2.25,9,,n/a,Operational,Operational,"Llanbabo Wind FarmLand tp the north of Llyn AlawIsle of AngleseyGwynedd",Gwynedd,Wales,Wales,236000.00,387000.00,Isle of Anglesey County Council,,,,,,,05/08/1994,,,,,,,19/12/1996,,,,,,01/10/1997,53.354376,-4.465566
2630,26/08/2004,WINDJEN POWER LTD,Blaen Bowi Wind Farm,Wind Onshore,3.9,n/a,1.3,3,,n/a,Operational,Operational,"Moelfre Capel Iwan Dyfed, Carmarthenshire",Dyfed,Wales,Wales,232500.00,236000.00,Carmarthenshire County Council,W03608,,,,,,27/06/2000,,,,,,,04/01/2001,,,,,,30/07/2002,51.997112,-4.4412529
2636,30/10/2011,Micon Wind Turbines (UK) Limited,Parc-Cynog Wind Farm,Wind Onshore,3.6,n/a,0.7,5,,n/a,Operational,Operational,"Parc-Cynog FarmPendineCarmarthenshire",Dyfed,Wales,Wales,225500.00,209500.00,Carmarthenshire County Council,,,,,,,05/05/1998,,01/02/2000,,,,,,,,,,,01/02/2001,51.75693,-4.5297076
2653,03/03/2010,John Laing Environmental (formerly Atlantic Energy / EnergieKontor),Moel Maelogen A,Wind Onshore,2.6,n/a,1.3,2,,n/a,Operational,Operational,"Moel MaelogenNr LlanrwstConwyGwynedd",Gwynedd,Wales,Wales,284700.00,361300.00,Conwy County Borough Council,,,,,,,20/08/1999,,,,,,,15/12/1999,,,,,,30/01/2003,53.136342,-3.7249757
2674,25/10/2011,Pennant Wind Energy Ventures Ltd,Maesgwyn,Wind Onshore,26,n/a,2,13,,n/a,Operational,Operational,"Maesgwyn, Glynneath, Neath, West Glamorgan. SA11",West Glamorgan,Wales,Wales,285500.00,205500.00,Neath Port Talbot County Borough Council,P/2006/1261,,,,,,01/10/2006,,,,,,,05/05/2009,,,,,01/07/2010,14/04/2011,51.736476,-3.6595544
2776,01/06/2011,Npower Renewables,Taff Ely Wind Farm,Wind Onshore,9,n/a,0.45,20,,n/a,Operational,Operational,10 kilometres (km) north east of Bridgend,Mid Glamorgan,Wales,Wales,298574.00,186630.00,Bridgend County Borough Council,,,,,,,,,,,,,,,,,,,,01/10/1993,51.569388,-3.4648126
2804,03/08/2011,,G24 Innovations Turbine,Wind Onshore,2.3,n/a,2.3,1,,n/a,Operational,Operational,"Wentloog Environmental Centre, WENTLOOG AVENUE, WENTLOOG",South Glamorgan,Wales,Wales,323460.00,179215.00,Cardiff Council,07/02286/E,,,,,,26/09/2007,,,,,,,15/01/2008,,,,,,12/07/2011,51.506662,-3.1042155
2873,16/05/2017,Njord Energy,Bryn Blaen Wind Farm,Wind Onshore,15,n/a,2.5,6,100,n/a,Appeal Granted,Awaiting Construction,land north of the village of Llangurig in Powys,Powys,Wales,Wales,291676.00,281370.00,Powys County Council,P/2014/1102,APP/T6850/A/15/3133966,,,,,04/12/2014,,,26/11/2015,,,23/08/2016,23/08/2016,,,,23/08/2021,,,52.419559,-3.5942703
2950,03/02/2010,Nuon,Parc Cynog Extension,Wind Onshore,7.8,n/a,1.3,6,,n/a,Operational,Operational,"Parc Cynog, Pendine, Carms",Dyfed,Wales,Wales,225230.00,209760.00,Carmarthenshire County Council,W/12246,,,,,,02/02/2006,,,,,,,19/07/2007,,,,,,01/11/2009,51.759181,-4.5337462
2956,09/06/2010,RES,Dyffryn Brodyn Wind Farm,Wind Onshore,5.5,n/a,0.5,11,,n/a,Operational,Operational,"Dyffryn Brodyn Wind Farm, near Llanboidy, north of St Clears",Dyfed,Wales,Wales,221900.00,226800.00,Carmarthenshire County Council,,,,,,,,,,,,,,01/01/1994,,,,,,01/12/1994,51.911181,-4.5907187
3015,03/03/2010,Npower Renewables,Bryn titli Windfarm,Wind Onshore,9.9,n/a,0.45,22,,n/a,Operational,Operational,"Bryntitli Platuae, North of RhayaderPowys",Powys,Wales,Wales,293500.00,275500.00,Powys County Council,R42978D,,,,,,12/03/1993,,,,,,,09/08/1993,,,,,,01/06/1994,52.367165,-3.5655919
3034,08/10/2013,Solutia / Vestas,Solutia UK Ltd,Wind Onshore,5,n/a,2.5,2,,n/a,Operational,Operational,"Traston Road, Newport, South Wales",Gwent,Wales,Wales,333375.00,185740.00,Newport City Council,08/1412,,,,,,05/11/2008,,,,,,,19/01/2009,,,,,01/09/2009,17/12/2009,51.566581,-2.962616
3057,04/12/2009,CELTPOWER LTD,Llandinam Windfarm,Wind Onshore,31,n/a,0.3,103,,n/a,Operational,Operational,10km south of Newtown,Powys,Wales,Wales,302840.00,283645.00,Powys County Council,,,,,,,,,,,,,,,,,,,,01/01/1993,52.442104,-3.4308309
3172,03/05/2017,John Laing Environmental,Moel Maelogen A Phase 2,Wind Onshore,11.7,n/a,1.3,8,,n/a,Operational,Operational,"Moel Maelogen, Nr Llanrwst, Conwy, Gwynedd",Gwynedd,Wales,Wales,284700.00,361300.00,Conwy County Borough Council,0/27445,,,,,,12/06/2003,,,,,,,26/11/2004,,,,,,01/10/2008,53.136342,-3.7249757
3229,03/03/2010,"Westbury Windfarms Ltd, Unit 10, Strawberry how business centre, Lorton road, Cockercroft, CA13 9XQ",Llangwyryfon,Wind Onshore,9.4,n/a,0.85,11,,n/a,Operational,Operational,"Llangwyryfon,Southeast AberystwythCeredigion",Dyfed,Wales,Wales,261752.00,269577.00,Ceredigion County Council,Dec-11,,,,,,01/12/2001,,,,,,,01/03/2003,,,,,,01/02/2004,52.306855,-4.0291556
3272,03/03/2010,Mr Knight,Lodge Farm 1,Wind Onshore,1,n/a,1,1,,n/a,Operational,Operational,"Lodge Farm, Hubberston, Milford Haven",Dyfed,Wales,Wales,188700.00,207500.00,Pembrokeshire County Council,04/1243/PA,,,,,,07/01/2005,,,,,,,01/10/2005,,,,,,01/08/2006,51.726298,-5.0609331
3277,06/01/2010,RWE npower,"Carno 'A'and 'B' Wind Farm, (Extension)",Wind Onshore,15.6,n/a,1.3,12,,n/a,Operational,Operational,"Cwm Cledan, Carno, Powys",Powys,Wales,Wales,293000.00,295000.00,Powys County Council,M2003/1156,,,,,,10/10/2003,,,,,,,10/07/2006,,,,,,01/03/2009,52.542306,-3.5791911
3313,06/11/2013,John Laing,Castle Pill - Repowering,Wind Onshore,3.2,n/a,0.8,4,,n/a,Operational,Operational,"Steynton, Pembroke, Dyfed",Dyfed,Wales,Wales,191995.00,206665.00,Pembrokeshire County Council,05/0394/PA,APP/N6845/A/05/1188977,,,,,22/06/2005,,19/12/2005,,,,19/12/2005,19/12/2005,,,,,,01/06/2009,51.720033,-5.0127958
3378,05/01/2015,Princes Gate Spring Water,Princes Gate Spring Water,Wind Onshore,1.6,n/a,0.8,2,,n/a,Operational,Operational,"Princes Gate Spring Water, Ludchurch, Narberth, ",Dyfed,Wales,Wales,214885.00,211552.00,Pembrokeshire County Council,11/0712/PA,,,,,,18/11/2011,,,,,,,09/07/2013,,,,,,03/09/2014,51.771951,-4.6844237
3552,08/12/2003,Powergen,Rheidol Wind Farm,Wind Onshore,2.4,n/a,0.3,8,,n/a,Operational,Operational,"Rheidol Wind Farm, Banc Bwa Drain, Goginan, Aberystwyth",Dyfed,Wales,Wales,272400.00,280500.00,Ceredigion County Council,,,,,,,01/08/1991,,,,,,,06/08/1996,,,,,,06/02/1997,52.407581,-3.8772282
3556,01/04/2005,Renewable Development Company Ltd,Bryn Du,Wind Onshore,16.4,n/a,0.42,39,,n/a,Operational,Operational,"Bryn Du Hills, South Of A44 At Pont Rydgaled, Powys, (LLangurig area)",Powys,Wales,Wales,284000.00,281000.00,Powys County Council,,,,,,,24/07/2000,,,,,,,10/12/2001,,,,,,01/04/2005,52.414659,-3.7069606
3592,26/04/2010,Tegni,Wern Ddu Wind Farm,Wind Onshore,9.2,n/a,2.3,4,,n/a,Operational,Operational,"NW Corwen, Gwyddelwern, Corwen, Denbighshire",Clwyd,Wales,Wales,305800.00,348500.00,Denbighshire County Council,6/2004/278/PS,,,,,,23/04/2004,,26/01/2005,,,,,,,,,,01/11/2009,01/03/2010,53.025468,-3.4059317
3660,06/11/2013,John Laing,Penrhys Wind Farm/Ferndale Power Factory,Wind Onshore,6.4,n/a,0.8,8,,n/a,Operational,Operational,"PenrhysRhonddaMid Glamorgan",Mid Glamorgan,Wales,Wales,299700.00,195700.00,Rhondda Cynon Taff County Borough Council,03/0226,App/L6940/A/04/754,,,,,11/02/2003,,09/01/2004,,,,01/03/2005,01/03/2005,,,,,01/04/2010,08/06/2011,51.651115,-3.4511699
3663,26/10/2016,Renewable Energy Systems (RES),Llanbrynmair Wind Farm,Wind Onshore,69,n/a,2.3,30,,n/a,Planning Application Submitted,Application Submitted,"Llanbrynmair , Powys",Powys,Wales,Wales,293294.00,308952.00,DECC (S36),n/a,,,,42368,,09/01/2009,,,,,,,,,,,,,,52.667742,-3.5793631
3695,04/07/2017,RWE Npower Renewables,Brechfa Forest West,Wind Onshore,57.4,n/a,2.05,28,,n/a,Under Construction,Under Construction,"centred around the Afon Pib Valley, east of Alltwalis and the second area around Banc Llywelau, south of Rhydcymerau.",Dyfed,Wales,Wales,254202.00,231259.00,The Planning Inspectorate - National Infrastructure,P2011/0085,,,,,,04/11/2011,,,,,,,12/03/2013,,,,,24/11/2016,,51.960642,-4.1233733
3705,24/08/2015,Pennant Walters,Mynydd Bwllfa Wind Farm - Resubmission,Wind Onshore,22.5,n/a,2.5,9,,n/a,Operational,Operational,South of Hirwaun,Mid Glamorgan,Wales,Wales,295787.00,202855.00,Rhondda Cynon Taff County Borough Council,09/0393/10,A/11/2161275 AP.1030,,,,,05/05/2009,,18/05/2011,,,,01/06/2012,01/06/2012,,,,,01/02/2014,08/05/2015,51.714712,-3.5098474
3707,31/05/2017,Belltown Power,Tirgwynt,Wind Onshore,24.6,n/a,2.05,12,,n/a,Operational,Operational,"Mynydd yr Hendre & Mynydd Pistyll Du�Near Carno, Powys",Powys,Wales,Wales,299943.00,302442.00,Powys County Council,M/2007/0931,,,,,,24/09/2007,,,,,,,12/10/2010,,,,,24/12/2015,15/02/2017,52.610508,-3.4791018
3711,31/05/2017,Renewables Infrastructure Group (TRIG),Garreg Lwyd,Wind Onshore,46,n/a,2,23,137,n/a,Operational,Operational,"Garreg Lwyd Hill�Between Felindre & Llanbadarn Fynydd, Llandrindod Wells, Powys",Powys,Wales,Wales,312758.00,280228.00,Powys County Council,P/2008/0785,APP/T6850/A/13/2209593,,,,,27/05/2008,,05/09/2013,04/03/2014,,,14/05/2015,14/05/2015,,,,,11/01/2016,22/02/2017,52.413068,-3.2840678
3726,31/03/2014,Resonance ,Oakdale Business Park,Wind Onshore,4,n/a,2,2,,n/a,Operational,Operational,"Blackwood, Gwent",Gwent,Wales,Wales,319119.00,199334.00,Caerphilly County Borough Council,11/0552/FULL,,,,,,18/07/2011,,,,,,,06/10/2011,,,,,23/08/2013,24/12/2013,51.686915,-3.171394
3856,10/05/2013,Airvolution Energy,Ystgellog Farm Wind Farm ,Wind Onshore,4.6,n/a,2.3,2,,n/a,Operational,Operational,"Ysgellog Farm, Rhosgoch, Builth Wells, Powys, LD2",Gwynedd,Wales,Wales,240490.00,391238.00,Isle of Anglesey County Council,11C557B,,,,,,24/10/2010,,,,,,,21/06/2011,,,,,05/10/2012,30/04/2013,53.39381,-4.4003097
3887,19/05/2017,Welsh Water,Nash Waste Water Treatment Works Turbine,Wind Onshore,2.5,n/a,2.5,1,,n/a,Under Construction,Under Construction,"West Nash Road, Nash NP18 2YH",Gwent,Wales,Wales,333598.00,184016.00,Newport City Council,11/1287,,,,,,08/12/2011,,,,,,,04/07/2012,,,,,07/02/2017,,51.551108,-2.959073
3896,04/01/2016,Awel Aman Tawe,Mynydd Y Gwrhyd Windfarm (resubmission),Wind Onshore,4.7,n/a,2.35,2,,n/a,Operational,Operational,Mynydd Y Gwrhyd,West Glamorgan,Wales,Wales,272659.00,210474.00,Neath Port Talbot County Borough Council,P2010/1225,,,,,,10/12/2010,,,,,,,21/03/2013,,,,,14/03/2016,20/12/2016,51.778401,-3.8472387
3904,03/10/2016,Renewable Energy Partnerships Ltd,Newton Down,Wind Onshore,5,n/a,2,2,,n/a,Operational,Operational,Bridgend,Mid Glamorgan,Wales,Wales,284252.00,179465.00,Bridgend County Borough Council,P/12/368/FUL,,,,,,18/05/2012,,13/07/2012,,,,24/05/2013,24/05/2013,,,,,07/04/2016,29/09/2016,51.502231,-3.66901
3931,23/08/2012,FIM Services,Mynydd Portref,Wind Onshore,9.4,n/a,0.85,11,,n/a,Operational,Operational,"N of Brynna, E of existing Taff Ely Wind Farm",Mid Glamorgan,Wales,Wales,298897.00,185178.00,Rhondda Cynon Taff County Borough Council,06/1325,,,,,,26/06/2006,,,,,,,01/07/2008,,,,,,26/03/2012,51.556395,-3.4597357
3932,05/06/2013,Pennant Walters,Fforch Nest Wind Farm pt2,Wind Onshore,17.5,n/a,2.5,7,,n/a,Operational,Operational,"Mynydd Maesteg and Mynydd Pwllyrhebog, Ogmore and Rhondda Valleys",Mid Glamorgan,Wales,Wales,296500.00,190800.00,Rhondda Cynon Taff County Borough Council,06/1842/10,,,,,,31/03/2006,,,,,,,04/05/2011,,,,,30/10/2011,24/05/2013,51.606492,-3.4959572
3956,05/06/2013,Pennant Walters,Fforch Nest Wind Farm pt1,Wind Onshore,10,n/a,2.5,4,,n/a,Operational,Operational,Land North of Glynogwr,Mid Glamorgan,Wales,Wales,296600.00,191300.00,Bridgend County Borough Council,P/06/1080/FUL,,,,,,31/08/2006,,,,,,,04/05/2011,,,,,30/10/2011,24/05/2013,51.611004,-3.4946614
3983,16/06/2017,CeltPower Ltd (Scottish Power/Eurus Energy),Llandinam Windfarm Repowering and Extension,Wind Onshore,102,n/a,3,34,,n/a,Planning Permission Granted,Awaiting Construction,"10km south of Newtown,",Powys,Wales,Wales,303400.00,284070.00,DECC (S36),n/a,,,,,,08/05/2008,,,,,,,07/09/2015,,,,,,,52.446023,-3.4227181
3989,26/10/2016,Npower Renewables,Carnedd Wen Wind Farm,Wind Onshore,150,n/a,3,50,,n/a,Planning Application Submitted,Application Submitted,"Llanbrynmair ForestTAN 8 Strategic Search Area B",Powys,Wales,Wales,293295.00,308953.00,DECC (S36),n/a,,,,42368,,11/12/2008,,,,,,,,,,,,,,52.667751,-3.5793487
4022,08/10/2013,REG Windpower (previously Cornwall Light and Power),Braich Ddu,Wind Onshore,3.9,n/a,1.3,3,,n/a,Operational,Operational,"Braich Ddu, Glanrafon Y Bala, Gwynedd",Gwynedd,Wales,Wales,267500.00,301500.00,Gwynedd Council,C04M/0038/04/MW,,,,,,11/03/2004,,,,,,,13/09/2004,,,,,,31/08/2007,52.595094,-3.9575839
4039,03/06/2013,Pennant Wind Energy Ventures (PWEV),Pant y wal,Wind Onshore,25,n/a,2.5,10,115,n/a,Operational,Operational,"Mynydd Maesteg, Mynydd Pwlle yr Helog, Ogmore Vale, Rhondda Valley",Mid Glamorgan,Wales,Wales,295886.00,191521.00,Bridgend County Borough Council,P/06/417/FUL,,,,,,31/03/2006,,26/04/2006,,,,04/05/2011,04/05/2011,,,,,01/04/2012,01/06/2013,51.612859,-3.5050346
4061,08/10/2013,ESB (Cambrian Renewable Energy Ltd / Betws Common Holdings Ltd),Mynydd y Betws,Wind Onshore,37.5,n/a,2.5,15,,n/a,Operational,Operational,"Mynydd y Betws, Betws, Ammanford",Dyfed,Wales,Wales,267000.00,210000.00,Carmarthenshire County Council,E/10446,,,,,,22/06/2005,,,,,,,17/06/2007,,,,,01/01/2012,01/04/2013,51.772825,-3.9290363
4138,26/06/2014,Greencoat UK Wind,Maerdy,Wind Onshore,24,n/a,3,8,,n/a,Operational,Operational,"land NW of Maerdy and NE of Treherbert, Rhigos",Mid Glamorgan,Wales,Wales,295189.00,200983.00,Rhondda Cynon Taff County Borough Council,11/0198/10,,,,,,01/09/2006,,,,,,,10/02/2008,,,,,09/07/2012,31/08/2013,51.697775,-3.5179365
