Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology-Type,Installed Capacity (MWelec),CHP Enabled,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,lat,lng
6079,27/04/2017,Infinite Renewables,West of Rhiwfelin Fach Farm,Wind Onshore,1.5,n/a,1.5,1,116,n/a,Planning Permission Granted,Awaiting Construction,"Land to the West of, Rhiwfelin Fach Farm, Llantrisant, Heol Sticil-Y-Beddau, Pontyclun",Mid Glamorgan,Wales,Wales,303640.00,185362.00,Rhondda Cynon Taff County Borough Council,16/0124/10,,,,,,08/02/2016,,,,,,,19/07/2016,,,,19/07/2019,,,51.55888,-3.391394
6089,25/08/2016,SIMEC Group,Uskmouth Power Station ,Biomass (co-firing),18,Yes,n/a,n/a,n/a,n/a,Operational,Operational,"West Nash Road, Nash, Newport, Gwent ",Newport,Wales,Wales,334280.00,183720.00,DECC (S36),,,,,,,,,,,,,,,,,,,01/01/2015,01/03/2015,51.548527,-2.949183
6108,19/04/2017,3C Renewable Energy Investments/Conergy(?),Popehill Farm,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Planning Permission Granted,Awaiting Construction,"Land East of A4076(T), Popehill, Johnston, Haverfordwest, Dyfed",Pembrokeshire,Wales,Wales,193972.00,212565.00,Pembrokeshire County Council,15/0443/PA,,,,,,08/10/2015,,,,,,,18/05/2016,,,,,,,51.773738,-4.987712
6160,30/06/2016,Cenin Renewables,Llwyncelyn Farm,Wind Onshore,5,n/a,2.5,2,125,n/a,Planning Application Submitted,Application Submitted,"Llwyncelyn Farm, Haford Lane, Porth",Rhondda Cynon Taff,Wales,Wales,303627.00,192833.00,Rhondda Cynon Taff County Borough Council,15/1635/10,,,,,,23/12/2015,,,,,,,,,,,,,,51.626032,-3.3936357
6172,28/07/2016,Solar Ventures,Williams Farm,Solar Photovoltaics,5,,n/a,n/a,n/a,Ground,Operational,Operational,"Williams Farm, Maelor Gas Works, Marchwiel, Wrexham",Wrexham,Wales,Wales,338309.00,348363.00,Wrexham County Borough Council,P/2015/0463,,,,,,26/06/2015,,,,,,,21/12/2015,,,,,01/02/2016,31/03/2016,53.028979,-2.9212967
6184,22/06/2017,SIMEC/ Liberty House,Liberty Steel Power Station,Biomass (dedicated),9,,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Liberty Steel, Corporation Road, Newport",Newport,Wales,Wales,333374.00,185135.00,Newport City Council,16/0096,,,,,,01/02/2016,,,,,,,03/03/2016,,,,,04/03/2016,,51.561141,-2.9625155
6185,03/08/2016,SIMEC,Uskmouth Power Station (ACT Plant),Advanced Conversion Technologies,8,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,"Uskmouth Power Station, West Nash Road, Nash, Newport",Newport,Wales,Wales,333031.00,183925.00,Newport City Council,16/0257,,,,,,21/03/2016,,,,,,,20/04/2016,,,,,,,51.550223,-2.9672319
6228,25/04/2017,Newbridge Energy ,Blazer Fuels ,Biomass (dedicated),3,Yes,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Blazers Fuels, Brickfield Lane, Off Denbigh Road, Ruthin, Denbighshire",Denbighshire,Wales,Wales,311558.00,359049.00,Denbighshire County Council,02/2015/1095,,,,,,02/11/2015,,,,,,,22/12/2015,,,,,01/01/2016,,53.121252,-3.3230117
6335,21/06/2017,Pennant Walters (MAESX),Maesgwyn Wind Farm - extension (Phase 2),Wind Onshore,7,n/a,2.3,3,,n/a,Planning Permission Granted,Awaiting Construction,Maesgwyn Wind Farm Between Onllwyn & Glynneath,Neath Port Talbot,Wales,Wales,286568.00,205930.00,Neath Port Talbot County Borough Council,P2014/0733,,,,,,15/08/2014,,,,,,,17/12/2015,,,,17/12/2020,,,51.740558,-3.6442352
6366,04/04/2017,Hydro Electric Development,Ystradffin Hydropower Project,Small Hydro,,n/a,n/a,n/a,n/a,n/a,Planning Application Submitted,Application Submitted,"Ystradffin Hydropower Project, Rhandirmwyn, Llandovery, Dyfed",Carmarthenshire,Wales,Wales,277600.00,245890.00,Carmarthenshire County Council,E/34887,,,,,,21/12/2016,,,,,,,,,,,,,,52.097768,-3.7882706
6369,04/04/2017,INRG,Rosedew Farm,Solar Photovoltaics,5,n/a,n/a,n/a,n/a,Ground,Operational,Operational,"Land at Rosedew Farm, Beach Road, Llantwit Major",Vale of Glamorgan,Wales,Wales,297779.00,167534.00,Vale of Glamorgan Council,2015/00218/FUL,,,,,,02/03/2015,,,,,,,03/08/2015,,,,,29/01/2016,29/03/2016,51.3976,-3.4707452
6378,05/07/2017,Sirius Group,Former Nant-y-Gwyddon Landfill Site,Wind Onshore,1.5,n/a,1.5,1,122,n/a,Planning Application Submitted,Application Submitted,"Land adj. to former Nant-Y-Gwy, Landfill site, Pentre, Mid Glamorgan",Rhondda Cynon Taff,Wales,Wales,297766.00,193866.00,Rhondda Cynon Taff County Borough Council,17/0321/10,,,,,,17/03/2017,,,,,,,,,,,,,,51.634281,-3.4785782
6420,29/06/2017,Solar Energy Farm ,Court Colman,Solar Photovoltaics,1,n/a,n/a,n/a,n/a,Ground,Planning Application Submitted,Application Submitted,"Land south/west of Longacre, Court Colman, Bridgend, Mid Glamorgan",Bridgend,Wales,Wales,288235.00,182822.00,Bridgend County Borough Council,P/17/423/FUL,,,,,,16/05/2017,,,,,,,,,,,,,,51.533206,-3.6127163
6422,29/06/2017,Cleanearth ,Graig Fatha Farm,Wind Onshore,2.5,no,2.5,1,126,n/a,Planning Application Submitted,Application Submitted,"Land at Graig Fatha Farm, Tonyrefail, Porth, Mid Glamorgan",Rhondda Cynon Taff,Wales,Wales,301279.00,185404.00,Rhondda Cynon Taff County Borough Council,17/0493/10,,,,,,02/05/2017,,,,,,,,,,,,,,51.558849,-3.4254521
